Study_Hours,Sleep_Hours,Screen_Time,Stress_Level,Physical_Activity,Assignment_Load,Attendance,CGPA,Age,Gender,Burnout
1,9,5,High,Low,Low,68,8.59,25,Male,Moderate
10,8,9,Medium,Medium,Low,84,7.22,25,Male,Moderate
8,6,3,Medium,Medium,Medium,88,9.69,19,Female,Moderate
10,7,7,Low,Low,Low,75,6.47,21,Male,Moderate
10,8,1,High,High,Low,95,7.38,21,Male,Low
10,3,4,Medium,Low,High,63,8.78,25,Male,High
2,7,4,Low,Low,Low,94,8.45,19,Male,Low
3,8,7,Low,High,High,93,9.32,21,Female,Low
9,7,8,Medium,High,Low,73,9.98,21,Male,Low
7,6,1,High,High,Medium,90,7.13,22,Female,Moderate
4,3,5,Low,High,Low,50,5.56,22,Male,Low
10,6,7,High,Low,Low,100,5.15,19,Male,High
5,9,4,High,Low,Low,92,8.63,24,Female,Low
2,3,4,High,Medium,High,71,9.37,18,Male,Moderate
8,4,4,Low,Low,Medium,72,6.1,23,Female,Moderate
4,8,6,High,High,Low,68,5.79,25,Male,Low
9,3,7,Low,Medium,High,67,5.31,25,Male,High
5,9,2,High,High,Medium,61,9.11,23,Male,Low
9,9,5,Low,Low,High,77,6.56,25,Male,Moderate
4,6,4,High,Medium,High,77,7.01,25,Male,Moderate
10,7,3,Medium,High,Medium,82,7.51,24,Female,Low
5,3,7,High,Medium,Low,68,9.2,21,Female,Moderate
9,8,6,High,Medium,High,77,8.25,18,Male,Moderate
8,3,7,Low,Low,High,98,8.08,25,Male,Moderate
3,5,5,Low,High,Low,86,5.88,19,Female,Low
1,7,6,High,Medium,Low,75,7.57,24,Female,Low
3,8,5,Medium,Medium,Medium,84,8.58,25,Male,Low
4,8,7,Medium,High,Medium,83,9.87,19,Male,Low
2,4,2,Low,Medium,Medium,84,6.01,22,Female,Low
1,6,5,Medium,Medium,Low,89,5.05,21,Male,Low
7,4,6,High,Medium,High,65,5.38,20,Female,High
8,8,6,Low,High,High,87,6.88,25,Male,Low
7,7,5,High,High,Medium,62,9.1,19,Female,Moderate
5,3,10,Low,High,Low,72,5.04,24,Female,Moderate
1,3,7,Low,High,High,71,7.28,21,Male,Moderate
7,7,10,Low,Low,Medium,65,6.65,18,Female,Moderate
7,8,8,Low,Medium,High,77,5.26,24,Male,Moderate
9,9,7,Medium,High,High,97,7.25,22,Male,Moderate
3,3,5,High,Medium,Low,84,6.27,23,Male,Moderate
9,9,1,High,Medium,Low,94,6.76,25,Male,Moderate
1,3,5,High,Low,High,95,8.53,18,Female,Moderate
1,3,10,Low,High,Medium,57,7.61,19,Male,Moderate
4,6,2,Medium,High,Low,93,5.62,25,Male,Low
9,6,5,High,Medium,High,71,9.81,19,Male,Moderate
6,5,5,Medium,High,Low,70,8.18,18,Male,Low
3,4,2,Low,Medium,Low,75,8.83,19,Female,Low
1,7,5,High,Medium,Low,89,5.4,24,Male,Low
4,7,4,Medium,Low,High,70,5.24,21,Female,Moderate
9,7,1,Low,Low,Medium,74,5.1,19,Female,Moderate
3,5,3,Medium,Low,Medium,90,5.94,22,Female,Moderate
9,6,1,High,Medium,Medium,50,7.07,21,Male,Moderate
7,8,5,High,High,Low,55,9.68,24,Male,Low
4,9,4,Low,Low,High,72,7.29,25,Male,Low
3,9,7,Low,High,Low,100,6.45,20,Male,Low
10,8,5,Low,Low,Medium,72,7.81,25,Female,Moderate
5,5,10,Medium,Low,Medium,92,5.56,19,Female,Moderate
5,8,4,Medium,Medium,High,92,8.05,19,Male,Low
3,7,2,Medium,Low,Low,72,7.84,22,Male,Low
9,4,4,Low,Low,Medium,81,8.96,24,Male,Moderate
4,3,2,High,Medium,High,79,9.93,22,Male,Moderate
5,9,8,High,High,Low,62,6.25,23,Male,Low
4,6,3,Medium,Low,Low,92,7.55,24,Male,Low
5,6,9,Medium,Medium,Medium,67,9.54,18,Male,Moderate
7,5,4,High,Low,Medium,72,8.93,18,Female,Moderate
9,6,6,High,Medium,Low,64,7.44,18,Female,Moderate
7,7,10,Medium,High,Low,82,9.73,22,Female,Low
5,9,5,Medium,High,Medium,70,5.29,18,Female,Low
10,8,10,High,Medium,Low,88,9.65,24,Male,Moderate
10,7,1,Low,Medium,Medium,72,5.25,18,Male,Moderate
7,5,9,Medium,Medium,Low,76,7.74,20,Male,Moderate
10,7,1,High,High,Medium,94,9.45,18,Male,Moderate
5,8,8,High,Low,High,93,6.31,19,Male,Moderate
3,4,9,High,High,Medium,67,7.36,23,Female,Moderate
7,5,9,High,Medium,Medium,73,6.62,22,Male,Moderate
2,4,1,Low,Medium,High,100,9.76,21,Female,Moderate
9,3,2,High,High,Low,96,9.12,23,Male,Moderate
10,4,1,Medium,Medium,High,89,8.55,20,Female,Moderate
10,3,10,Low,High,Medium,100,7.94,22,Male,Moderate
1,3,2,High,Medium,Low,91,9.1,24,Female,Moderate
6,4,10,Low,Low,High,56,6.96,25,Male,High
7,5,8,Medium,Low,Low,99,7.24,22,Male,Moderate
8,8,5,High,Medium,Low,97,8.65,19,Male,Low
10,7,7,Medium,High,High,69,6.79,24,Male,Moderate
9,7,2,High,Low,Low,76,5.32,23,Female,Moderate
2,8,8,High,High,High,55,5.37,23,Male,Moderate
10,9,6,High,Medium,Medium,76,5.58,18,Female,Moderate
2,9,8,High,High,Low,58,9.35,24,Male,Low
5,3,1,High,Low,Medium,94,7.36,25,Female,Moderate
5,3,1,Low,High,Medium,80,8.56,19,Male,Low
6,5,7,High,High,Low,70,6.96,18,Male,Low
3,6,8,High,Medium,High,75,6.29,18,Female,Moderate
8,4,3,Low,Medium,Low,89,6.74,25,Male,Low
1,3,5,Low,Medium,Medium,97,8.97,22,Male,Low
6,7,1,Low,Low,Medium,94,8.13,23,Female,Low
4,5,7,Low,Low,High,62,9.69,18,Male,Moderate
1,4,5,Low,Medium,Low,98,8.4,20,Female,Low
7,5,8,Low,Medium,Medium,72,7.85,20,Male,Moderate
9,4,8,High,Low,Medium,69,8.05,23,Female,High
4,4,9,High,Low,Medium,86,9.71,20,Female,High
4,8,7,Medium,Low,High,77,8.94,25,Female,Moderate
6,3,1,High,Low,Medium,66,5.12,22,Female,High
3,5,3,High,Medium,Medium,77,7.67,19,Male,Moderate
6,5,8,Low,Low,Low,90,8.44,21,Male,Low
7,8,3,Low,Medium,Low,51,8.74,18,Female,Low
10,7,8,High,High,Medium,74,6.07,21,Male,Moderate
10,7,1,Medium,High,Medium,99,9.34,19,Male,Low
3,9,5,Low,Low,Low,90,9.78,19,Male,Low
7,3,4,High,High,High,55,6.18,25,Female,Moderate
3,3,5,High,High,High,60,9.41,22,Male,Moderate
2,6,8,Medium,High,High,87,5.48,20,Male,Moderate
10,8,10,Medium,Low,High,55,5.28,20,Female,High
4,7,4,Low,Low,High,94,5.65,25,Male,Moderate
8,4,4,Medium,High,High,60,5.29,19,Female,Moderate
9,5,3,High,Medium,High,63,9.23,22,Female,High
7,3,7,High,High,High,51,5.3,22,Female,High
1,5,3,Medium,Low,Low,89,6.36,23,Male,Low
3,5,3,Medium,Low,High,52,5.52,24,Male,Moderate
9,6,10,Medium,Low,High,84,6.48,18,Female,High
1,7,5,Medium,High,High,82,5.45,25,Female,Low
9,3,5,Low,Medium,Medium,73,8.34,24,Female,Moderate
8,5,6,Medium,Low,Low,68,5.67,25,Female,Moderate
1,3,8,Low,Low,Low,67,9.26,20,Female,Moderate
6,4,10,High,High,Low,98,9.09,19,Female,Moderate
5,6,6,Medium,Medium,High,73,5.07,25,Male,Moderate
6,4,1,Low,High,High,94,9.48,25,Female,Low
10,3,8,Medium,Low,Medium,84,5.14,23,Female,High
5,9,8,High,Medium,Low,50,6.2,21,Female,Moderate
6,3,9,High,Medium,High,85,5.16,20,Male,High
5,7,9,High,Low,Low,74,6.68,18,Male,Moderate
5,5,2,Medium,Medium,Medium,94,7.57,22,Male,Low
4,5,2,Medium,Medium,Medium,98,8.98,19,Male,Low
3,4,3,Low,High,Medium,92,6.69,20,Female,Low
3,6,1,High,Low,Low,83,8.53,21,Male,Moderate
4,9,4,Medium,Low,High,74,5.94,25,Female,Moderate
9,8,4,High,Low,High,65,8.75,18,Female,High
2,5,9,High,Low,Medium,83,6.18,25,Female,Moderate
9,7,9,Low,Low,High,78,5.72,18,Female,High
1,4,9,Low,Medium,Medium,68,5.93,23,Female,Moderate
1,4,10,Low,High,Low,72,5.91,25,Female,Moderate
5,8,7,Low,Low,Medium,68,7.56,20,Male,Moderate
6,7,2,High,High,Low,74,9.22,21,Male,Low
6,6,10,Low,High,Medium,65,5.4,18,Male,Moderate
3,7,5,Low,Medium,High,100,8.53,19,Male,Low
7,6,4,Low,Low,High,58,8.27,18,Male,Moderate
9,7,8,Low,Medium,Medium,50,9.36,21,Female,Moderate
10,7,2,High,Low,High,91,6.22,22,Male,Moderate
8,3,6,Low,Medium,High,68,7.25,22,Male,Moderate
6,4,5,High,High,High,82,9.63,23,Male,Moderate
8,7,2,Medium,Low,Low,83,8.3,20,Female,Low
5,8,10,High,High,High,65,6.94,21,Female,Moderate
8,7,1,High,High,Low,93,5.66,23,Female,Low
10,5,8,Low,Medium,Medium,89,6.31,24,Male,Moderate
4,4,2,Medium,Low,High,67,7.91,18,Male,Moderate
10,5,7,Medium,High,High,83,8.59,24,Male,Moderate
8,4,9,Medium,Medium,High,74,5.62,18,Male,High
10,5,9,Medium,Low,Medium,94,8.0,22,Male,High
2,7,8,High,Low,Low,55,7.75,23,Female,Moderate
5,7,10,Medium,High,Low,70,7.57,22,Male,Low
9,3,9,High,Low,High,55,8.45,19,Female,High
4,8,2,High,High,Medium,81,9.19,24,Male,Low
6,5,6,High,Low,Medium,90,6.61,24,Female,Moderate
1,6,4,Medium,Medium,Medium,97,9.45,22,Female,Low
9,3,4,Low,High,Medium,92,5.8,19,Female,Moderate
1,5,5,Low,High,Medium,88,5.87,18,Female,Low
5,5,3,Medium,Low,Low,80,6.33,23,Male,Low
4,3,1,Low,Low,Low,91,5.6,19,Male,Moderate
3,7,8,Low,High,Low,59,6.15,23,Male,Low
6,5,5,High,Low,High,79,5.53,24,Female,Moderate
2,7,3,High,Medium,Medium,67,9.11,23,Male,Moderate
3,3,10,Medium,Low,High,73,5.69,24,Male,High
5,7,7,Medium,Medium,Medium,58,8.74,19,Male,Moderate
9,4,7,Low,Medium,Low,80,5.24,24,Male,Moderate
2,6,1,High,Medium,High,64,9.74,25,Female,Moderate
10,9,9,Medium,Medium,Low,53,8.56,20,Female,Moderate
8,5,2,Medium,Medium,Medium,89,5.03,24,Male,Moderate
2,8,5,Medium,Low,Medium,58,8.82,22,Male,Moderate
5,6,5,Medium,Medium,Medium,94,7.57,19,Male,Low
7,9,8,Medium,Low,Low,58,8.9,25,Female,Moderate
8,7,8,Medium,Medium,Medium,75,7.61,18,Female,Moderate
1,5,7,Low,High,Low,53,8.21,23,Female,Low
6,7,7,High,Medium,High,66,8.93,25,Male,Moderate
1,4,6,High,High,Medium,65,7.03,21,Female,Moderate
2,3,6,Medium,Medium,Medium,64,5.01,25,Female,Moderate
1,5,9,High,Medium,Medium,84,9.25,19,Female,Moderate
5,9,6,High,Medium,High,54,6.9,25,Female,Moderate
10,9,2,High,High,Medium,54,7.48,25,Female,Moderate
9,4,2,Medium,High,Low,69,5.04,22,Male,Moderate
6,4,5,Medium,Medium,Low,64,7.46,24,Male,Moderate
1,5,4,High,Low,Medium,67,9.93,23,Male,Moderate
1,7,2,High,Medium,Medium,96,6.39,20,Male,Low
2,8,3,Medium,High,High,51,6.98,18,Female,Low
9,9,7,Low,Medium,High,78,8.44,20,Male,Moderate
3,9,8,High,High,High,62,9.07,25,Male,Moderate
1,4,6,Low,High,Medium,53,7.09,21,Male,Low
5,6,5,High,High,High,91,6.55,19,Female,Moderate
7,4,1,Low,Medium,High,94,9.69,23,Male,Moderate
6,8,8,Low,High,Low,59,8.39,19,Female,Low
1,7,3,Low,High,High,80,5.6,22,Female,Low
5,7,6,Medium,Medium,Low,90,5.34,19,Female,Low
5,6,3,Low,High,Low,57,7.42,18,Male,Low
6,9,7,Low,Medium,High,52,6.1,21,Female,Moderate
3,4,7,Low,High,Low,97,6.27,20,Male,Low
5,7,9,High,Low,Medium,95,9.39,25,Male,Moderate
7,8,5,Low,Low,Medium,58,5.45,25,Male,Moderate
5,5,8,High,High,High,79,8.58,21,Female,Moderate
5,3,10,Low,Low,Medium,60,6.36,23,Female,Moderate
5,3,10,Low,Medium,Low,84,8.8,19,Male,Moderate
10,3,8,Medium,Low,Medium,86,8.61,23,Female,High
10,9,1,High,High,High,91,5.04,20,Female,Moderate
3,4,5,Low,High,High,62,7.55,23,Female,Moderate
1,6,3,High,Medium,Low,85,5.7,22,Male,Moderate
5,7,1,High,High,High,62,9.33,21,Female,Moderate
9,5,4,Medium,Medium,Medium,61,9.36,20,Female,Moderate
1,8,8,Medium,Low,High,86,7.09,20,Male,Moderate
3,5,3,Medium,Low,Low,59,7.22,24,Female,Moderate
4,8,10,Medium,Medium,High,58,6.52,20,Male,Moderate
1,9,2,Medium,Medium,Medium,56,8.58,24,Female,Low
1,4,9,Medium,High,Low,51,6.79,18,Female,Moderate
8,3,10,Medium,Low,Medium,72,6.34,25,Female,High
2,4,5,Medium,Medium,Low,88,7.16,24,Female,Low
8,9,7,Low,Low,High,89,5.46,21,Female,Moderate
7,6,2,High,Medium,Low,88,8.73,23,Female,Moderate
10,6,9,Medium,Low,Low,70,5.06,24,Male,High
10,9,9,Medium,High,High,72,8.22,20,Female,Moderate
2,8,4,High,Low,Medium,78,5.91,21,Female,Moderate
6,7,4,Low,Low,High,63,6.16,24,Female,Moderate
6,7,6,High,Low,Low,75,8.18,24,Male,Low
3,8,10,High,Low,High,100,9.96,20,Male,Moderate
2,6,10,Medium,Low,Low,54,8.89,22,Male,Moderate
1,6,10,High,High,High,80,6.13,22,Female,Moderate
6,6,6,High,Medium,High,74,5.88,24,Female,Moderate
5,4,1,Medium,Low,Medium,80,9.33,22,Male,Moderate
9,6,9,Medium,High,Low,99,7.22,19,Male,Moderate
1,5,2,Medium,Low,Medium,69,5.69,20,Male,Moderate
7,3,5,Medium,Low,Low,93,9.31,19,Female,Moderate
5,6,9,High,Medium,High,66,9.08,21,Male,High
5,8,4,High,Low,Low,94,9.92,19,Female,Low
2,3,3,Low,High,Medium,51,9.55,21,Female,Low
3,4,7,Low,High,Medium,74,9.26,24,Female,Low
7,8,6,High,Medium,Medium,62,5.26,21,Male,Moderate
6,3,8,Low,Low,Low,88,5.52,21,Female,Moderate
2,8,3,High,High,Medium,77,7.84,23,Male,Low
6,4,5,Low,Low,Medium,91,7.66,19,Male,Moderate
2,5,10,Medium,Low,Medium,55,7.29,23,Male,Moderate
2,4,4,Low,Low,High,52,6.98,24,Male,Moderate
2,4,4,Medium,Medium,High,84,7.16,20,Female,Moderate
3,8,4,Medium,Low,Low,67,7.85,19,Female,Low
2,9,10,Medium,High,Low,60,5.01,20,Female,Moderate
4,7,8,Medium,Low,Medium,69,6.3,20,Female,Moderate
9,6,6,Low,High,High,54,7.59,21,Male,Moderate
6,6,3,High,Low,Medium,68,8.61,25,Male,Moderate
1,5,10,Medium,High,Medium,71,5.87,19,Male,Moderate
8,5,5,Low,High,High,68,7.73,20,Male,Moderate
7,6,6,Medium,Low,High,96,8.57,25,Female,Moderate
10,7,5,Low,Low,High,65,7.22,22,Male,Moderate
3,6,6,Low,High,Low,73,5.14,20,Female,Low
1,9,8,Low,Medium,Low,90,7.25,22,Male,Low
5,7,7,High,Low,Medium,53,6.48,19,Male,Moderate
4,5,5,Low,Medium,Low,64,9.65,24,Male,Low
10,3,10,Low,Low,High,74,5.62,23,Male,High
8,8,6,High,Low,High,93,8.26,19,Female,Moderate
1,9,4,High,Low,Low,84,5.26,23,Female,Moderate
10,9,9,Low,Low,Medium,63,7.23,23,Female,Moderate
1,5,4,High,Medium,Medium,98,7.77,19,Female,Moderate
4,5,1,Medium,Low,Low,68,6.49,20,Male,Moderate
8,4,7,Medium,High,Medium,87,7.28,18,Male,Moderate
5,9,7,High,High,Medium,85,5.82,20,Female,Moderate
2,4,4,High,Medium,Medium,56,6.52,20,Female,Moderate
6,4,3,Low,Low,High,79,8.11,24,Male,Moderate
5,8,8,High,High,High,68,6.51,21,Male,Moderate
2,4,5,Low,Medium,Low,98,9.5,21,Female,Low
3,7,10,Medium,Low,High,74,8.14,20,Female,Moderate
9,6,7,High,High,Medium,65,7.19,22,Female,Moderate
7,3,4,Low,High,High,96,5.19,24,Male,Moderate
7,5,4,Low,Medium,Low,89,7.5,23,Female,Low
6,7,8,Medium,Low,High,100,8.82,25,Female,Moderate
8,3,8,High,Low,Medium,57,6.33,21,Female,High
4,9,2,Medium,High,Medium,67,9.03,20,Female,Low
8,9,2,Low,High,Low,77,6.26,24,Female,Low
4,9,3,Low,High,High,65,9.12,18,Male,Low
8,7,3,High,Low,High,68,5.43,22,Female,High
9,7,1,Low,Medium,High,91,9.33,19,Male,Moderate
3,5,3,High,Medium,Medium,66,7.5,20,Female,Moderate
3,6,6,Medium,Low,Low,94,6.48,24,Female,Low
2,4,8,High,Medium,High,62,6.33,20,Female,High
10,9,10,High,High,Medium,56,7.16,25,Male,Moderate
3,8,6,Low,Medium,Medium,76,10.0,23,Male,Low
3,6,5,Low,Medium,Medium,59,6.1,22,Male,Low
5,8,4,High,Medium,High,83,5.52,21,Female,Moderate
5,5,3,Low,High,High,85,7.93,21,Female,Low
2,5,4,Low,Low,High,74,7.44,21,Male,Moderate
10,5,7,Low,High,High,55,7.62,25,Male,Moderate
6,3,1,High,Low,High,73,8.33,19,Female,Moderate
5,8,7,Low,Low,High,67,6.34,24,Male,Moderate
6,6,1,High,Low,High,72,9.55,22,Female,Moderate
1,6,2,Low,Medium,High,55,7.18,22,Male,Moderate
5,7,4,Medium,Medium,High,78,5.65,21,Male,Moderate
9,7,1,Low,Low,Medium,74,8.71,21,Male,Moderate
10,9,9,Low,Low,High,66,8.22,23,Female,High
2,7,6,High,Medium,Low,95,6.58,25,Female,Low
1,5,1,High,High,Medium,73,8.11,18,Male,Low
10,6,1,Low,Low,High,60,6.1,18,Female,Moderate
9,8,6,Medium,High,Low,75,7.22,20,Female,Low
10,5,4,Low,Medium,High,100,9.5,20,Female,Moderate
9,3,4,Low,Low,Low,83,5.67,22,Female,Moderate
9,7,6,Medium,High,Low,77,6.93,22,Male,Low
6,5,7,High,High,Low,52,9.11,19,Female,Moderate
8,5,9,Low,High,Low,60,9.85,19,Female,Moderate
1,3,10,High,Medium,Medium,87,7.27,18,Male,Moderate
10,4,5,High,Medium,Medium,63,7.53,25,Female,High
4,6,9,Medium,High,Low,100,7.86,20,Female,Low
1,8,4,Medium,High,High,75,9.66,18,Female,Low
8,9,10,High,Medium,Low,97,9.29,25,Male,Moderate
1,4,2,Low,High,Medium,70,5.85,18,Male,Low
3,7,3,High,High,High,88,7.18,20,Female,Low
4,5,1,Low,Medium,Medium,79,7.32,24,Female,Low
8,3,6,Low,High,Medium,57,8.95,19,Male,Moderate
6,3,6,Medium,High,High,100,8.01,23,Male,Moderate
10,6,1,Low,High,Low,69,8.27,23,Male,Low
7,4,3,Low,Medium,Low,97,9.99,23,Female,Low
8,9,5,High,High,Low,81,5.37,20,Female,Low
2,6,3,Medium,Medium,Low,71,6.12,21,Male,Low
10,5,10,Low,Medium,High,56,7.04,21,Female,High
8,6,3,Low,Low,High,58,6.74,21,Female,Moderate
3,8,10,Medium,Low,High,94,5.11,22,Female,Moderate
7,3,3,High,High,Medium,50,5.46,19,Female,Moderate
3,3,5,Medium,Medium,High,78,8.4,19,Female,Moderate
7,7,5,Medium,Low,Low,57,9.4,24,Female,Moderate
2,7,4,Low,High,Medium,53,7.57,24,Female,Low
10,9,1,Low,Low,Low,84,7.7,22,Male,Low
6,5,5,High,Low,Low,52,6.28,18,Male,Moderate
3,8,10,Low,Medium,High,94,8.84,25,Male,Moderate
3,4,5,Low,Medium,High,89,8.76,24,Male,Moderate
9,6,4,Medium,Low,Low,56,7.94,23,Male,Moderate
7,9,6,Low,Low,Low,76,6.06,21,Male,Low
5,5,10,High,Medium,Medium,50,5.49,23,Male,High
10,7,4,Medium,High,High,76,5.32,21,Male,Moderate
7,6,7,High,Medium,Medium,65,7.96,23,Male,Moderate
9,7,7,Medium,Low,Medium,87,9.13,18,Female,Moderate
1,6,2,Low,High,Medium,56,9.29,25,Female,Low
7,4,3,Medium,Low,Low,93,7.32,23,Male,Moderate
6,5,1,Medium,High,Medium,72,8.92,23,Female,Low
10,6,8,Low,Low,Medium,90,9.73,20,Female,Moderate
9,8,9,Low,High,Low,60,6.38,25,Male,Moderate
1,9,4,High,High,High,91,6.99,23,Male,Low
4,3,6,High,Low,High,82,9.66,20,Male,Moderate
9,8,9,Low,High,Medium,99,6.69,19,Female,Moderate
4,8,6,Low,Medium,Low,85,9.57,25,Female,Low
10,9,9,Low,Low,High,86,9.91,22,Male,Moderate
3,3,4,Medium,Medium,Medium,90,8.31,25,Female,Moderate
9,8,8,Medium,Low,Medium,66,9.08,25,Female,Moderate
2,6,9,Medium,High,Low,84,8.75,23,Female,Low
4,6,4,Low,High,Medium,97,8.5,19,Male,Low
6,6,5,High,High,High,54,6.53,25,Female,Moderate
2,3,8,Low,Low,Low,97,5.29,24,Female,Moderate
8,8,10,Medium,Medium,High,81,6.72,24,Female,Moderate
8,3,6,Medium,Medium,High,52,8.33,20,Female,Moderate
1,6,7,Low,Low,High,96,5.51,23,Female,Moderate
3,9,3,Low,Low,Medium,84,5.06,23,Female,Low
10,8,7,Medium,Medium,Medium,63,5.7,25,Female,Moderate
9,8,8,Medium,Medium,High,97,8.58,18,Male,Moderate
5,7,10,Medium,Medium,High,80,9.86,19,Male,Moderate
6,7,6,Low,Medium,Low,80,9.92,21,Female,Low
4,4,10,Medium,Low,Low,66,7.47,21,Male,Moderate
10,5,9,Medium,Low,Medium,73,9.35,18,Female,High
2,7,6,High,High,Medium,72,8.68,20,Female,Low
8,3,9,Low,Medium,Low,67,7.51,21,Female,Moderate
6,7,4,High,High,High,99,7.86,25,Male,Low
5,4,8,High,Low,Medium,63,5.69,21,Female,High
9,8,4,Medium,Low,High,99,9.69,24,Female,Moderate
1,4,2,Low,High,Low,64,6.76,24,Male,Low
5,8,10,Medium,Medium,Medium,64,7.23,22,Male,Moderate
6,9,9,Low,Medium,Medium,55,8.36,19,Female,Moderate
5,9,5,High,Medium,Low,76,6.67,20,Male,Low
6,8,4,Low,Medium,Medium,64,6.27,23,Male,Low
6,5,2,Medium,High,Low,99,8.16,19,Female,Low
7,7,1,Medium,High,Medium,85,5.12,20,Female,Low
4,3,7,Medium,Low,Low,57,8.6,21,Female,Moderate
8,3,6,Low,Medium,Medium,64,7.57,22,Male,Moderate
7,6,2,High,Medium,High,52,8.03,19,Male,Moderate
9,8,8,High,Medium,High,96,8.16,21,Male,Moderate
7,3,4,Low,High,High,62,7.64,20,Female,Moderate
3,5,8,Medium,Medium,Medium,90,7.91,19,Male,Moderate
3,8,7,High,High,Medium,83,8.42,23,Male,Low
8,5,5,Medium,Medium,High,73,8.77,19,Female,Moderate
5,3,10,Low,Medium,High,89,8.64,21,Female,Moderate
4,3,10,Medium,Low,Low,81,9.35,25,Female,Moderate
8,6,8,High,Medium,Low,81,5.95,25,Male,Moderate
6,3,9,High,Medium,Low,79,7.01,19,Female,Moderate
2,8,5,Medium,Low,High,98,9.74,23,Male,Moderate
4,9,10,Low,High,High,62,6.98,22,Male,Moderate
4,8,5,Medium,High,High,50,5.62,22,Female,Moderate
6,8,2,Low,Medium,Low,83,7.63,25,Female,Low
6,6,5,Medium,High,Medium,64,5.55,21,Female,Moderate
1,6,3,High,Medium,High,93,6.01,20,Female,Moderate
8,3,7,Low,Low,Medium,63,9.99,21,Female,Moderate
6,4,10,Low,Low,Medium,78,7.71,22,Male,Moderate
3,4,5,Low,Medium,Medium,83,6.42,18,Male,Low
9,6,8,High,Low,Low,67,9.97,18,Male,High
2,3,1,Medium,Low,Medium,56,9.83,19,Female,Moderate
8,4,3,High,Medium,High,78,7.2,23,Male,Moderate
10,3,3,Low,Medium,Low,80,6.3,25,Female,Moderate
3,3,9,Medium,Low,High,74,9.19,24,Female,High
5,3,5,High,High,High,87,8.58,24,Male,Moderate
6,7,9,Low,High,Low,63,8.43,24,Male,Low
10,8,9,Low,Medium,High,57,9.47,19,Female,Moderate
6,3,1,High,Medium,High,76,8.45,18,Male,Moderate
4,7,2,High,High,Low,51,6.42,22,Female,Low
3,6,5,High,Low,High,66,8.47,19,Male,Moderate
4,4,4,Low,High,Medium,86,6.53,24,Male,Low
1,8,10,High,High,High,63,8.8,24,Male,Moderate
4,9,9,Low,High,Medium,74,8.1,25,Male,Low
1,4,7,High,High,High,79,5.39,21,Male,Moderate
1,8,6,Low,Medium,Low,78,7.56,24,Female,Low
10,9,7,Low,Medium,Low,69,6.72,23,Male,Moderate
6,4,1,Medium,Low,High,70,6.64,24,Male,Moderate
5,8,1,High,Low,Low,71,8.01,21,Male,Low
4,4,8,High,Low,High,84,6.61,24,Female,High
3,4,2,Low,Low,Low,86,8.88,23,Female,Low
1,9,10,Low,High,Medium,65,5.35,22,Female,Moderate
6,4,9,Low,Medium,High,99,8.3,19,Female,Moderate
2,4,7,Medium,Medium,Medium,98,9.05,23,Female,Moderate
8,9,6,Medium,Low,Medium,92,8.36,21,Male,Moderate
10,6,1,Low,Low,High,66,7.49,19,Male,Moderate
5,3,1,High,High,Medium,65,9.75,19,Male,Moderate
7,5,2,High,High,High,51,6.5,21,Female,Moderate
10,7,6,Medium,Low,Medium,53,5.1,25,Female,Moderate
2,5,6,Medium,Medium,High,70,7.16,18,Male,Moderate
8,5,2,Low,Medium,High,88,5.17,24,Female,Moderate
2,8,1,High,Medium,Low,83,9.77,23,Female,Low
4,3,10,Low,Low,High,79,6.05,21,Female,Moderate
1,8,5,Medium,Medium,High,55,8.94,22,Male,Moderate
5,3,5,High,High,Medium,66,8.87,20,Male,Moderate
9,9,2,High,High,High,88,6.09,21,Female,Moderate
1,9,6,Medium,Low,Low,74,8.11,24,Female,Low
9,3,9,Low,High,Medium,54,5.24,24,Female,High
8,4,2,Low,Low,Medium,54,7.42,19,Female,Moderate
6,6,10,High,Medium,Low,69,5.07,19,Male,Moderate
7,4,2,Medium,Medium,Medium,65,9.61,21,Female,Moderate
3,6,3,High,Medium,Medium,100,9.88,20,Male,Moderate
1,8,7,Medium,High,Medium,90,6.11,25,Male,Low
5,6,6,Low,Low,Medium,86,6.04,21,Male,Low
2,8,8,Medium,Medium,Low,89,8.77,20,Female,Low
5,9,8,Low,Low,Low,58,6.27,25,Male,Low
8,5,6,Medium,Medium,Medium,54,9.48,20,Male,Moderate
9,9,10,High,High,Medium,91,7.87,24,Female,Moderate
2,9,3,Low,High,Low,51,6.75,24,Female,Low
3,5,3,High,Low,Low,58,9.16,24,Female,Moderate
3,6,1,High,High,Low,92,7.47,22,Male,Low
1,6,7,Low,High,Medium,85,9.56,24,Female,Low
8,8,5,Low,Low,Medium,71,9.64,23,Male,Low
6,4,4,High,Medium,High,71,5.83,19,Male,Moderate
8,8,10,High,High,Low,71,5.01,19,Female,Moderate
9,4,4,High,Low,Medium,83,9.92,20,Male,High
5,9,4,High,High,Low,78,9.53,19,Male,Low
3,5,6,Low,High,Medium,87,5.28,18,Male,Low
5,9,8,Low,High,Low,95,9.17,25,Male,Low
5,3,8,High,High,Medium,82,7.29,20,Female,Moderate
5,6,5,Medium,Low,High,67,6.29,19,Male,Moderate
3,4,6,Medium,Low,High,56,9.39,18,Female,Moderate
10,8,4,Low,Low,Low,50,5.98,25,Male,Moderate
4,5,9,High,High,Medium,82,9.74,22,Male,Moderate
9,4,8,High,High,Medium,50,6.03,19,Female,High
